"oid","name","code","price","sale-price","orderable","ship-weight","taxable"
"liwecob7","Liretta Wedding  Collection - <br>Maca","LIMACA","750.00 ",,"Yes",,"Yes"
"liwecobab","Liretta Wedding  Collection - <br> Abelone","LIABELONE","765.00 ",,"Yes",,"Yes"
"liwecobad","Liretta Wedding  Collection - <br> Adana","newitem541031773","660.00 ",,"Yes",,"Yes"
"liwecobair","Liretta Wedding  Collection - <br> Air","LIAIR","825.00 ",,"Yes",,"Yes"
"liwecobap","Liretta Wedding  Collection - <br> Aphrodite","LIAPRODITE","690.00 ",,"Yes",,"Yes"
"liwecobar","Liretta Wedding  Collection - <br> Arusha","LIARUSHA","1350.00 ",,"Yes",,"Yes"
"liwecobau","Liretta Wedding  Collection - <br> Aurelia","LIAURELIA","1095.00 ",,"Yes",,"Yes"
"liwecobau1","Liretta Wedding  Collection - <br> Aurora","LIAURORA","1020.00 ",,"Yes",,"Yes"
"liwecobbo","Liretta Wedding  Collection - <br> Bourbon","LIBOURBON","1020.00 ",,"Yes",,"Yes"
"liwecobbr","Liretta Wedding  Collection - <br> Breeze","LIBREEZE","1050.00 ",,"Yes",,"Yes"
"liwecobbr1","Liretta Wedding  Collection - <br> Brutte","LIBRUTTE","1410.00 ",,"Yes",,"Yes"
"liwecobca","Liretta Wedding  Collection - <br> Caturra","LICATURRA","435.00 ",,"Yes",,"Yes"
"liwecobch","Liretta Wedding  Collection - <br> Charrier","LICHARRIER","780.00 ",,"Yes",,"Yes"
"liwecobco","Liretta Wedding  Collection - <br> Coral","LICORAL","1035.00 ",,"Yes",,"Yes"
"liwecobco1","Liretta Wedding  Collection - <br> Comum","LICOMUM","1215.00 ",,"Yes",,"Yes"
"liwecobcy","Liretta Wedding  Collection - <br> Cyanea","LICYANEA","915.00 ",,"Yes",,"Yes"
"liwecobdu","Liretta Wedding  Collection - <br> Dune","LIDUNE","1170.00 ",,"Yes",,"Yes"
"liwecobex","Liretta Wedding  Collection - <br> Excelsa","LIEXCELSA","1545.00 ",,"Yes",,"Yes"
"liwecobgem","Liretta Wedding  Collection - <br> Gem","LIGEM","390.00 ",,"Yes",,"Yes"
"liwecobim","Liretta Wedding  Collection - <br> Immensity","LIIMMENSITY","1050.00 ",,"Yes",,"Yes"
"liwecobja","Liretta Wedding  Collection - <br> Java","LIJAVA","1515.00 ",,"Yes",,"Yes"
"liwecobja1","Liretta Wedding  Collection - <br> Jackson","LIJACKSON","1365.00 ",,"Yes",,"Yes"
